de,en,cat,ex,pos,tr
der Verein,"club, association",Goethe B1,Ich bin schon seit 15 Jahren Mitglied in diesem Verein.,,"kulüp, dernek"
vereinbaren,"to arrange, to agree on",Goethe B1,Können wir einen Termin vereinbaren?,,"kararlaştırmak, anlaşmak"
die Vergangenheit,the past,Goethe B1,In der Vergangenheit war das anders.,,geçmiş
vergeblich,in vain,Goethe B1,Ich habe vergeblich versucht dich anzurufen.,,"boşuna, beyhude"
vergessen,to forget,Goethe B1,Ich habe den Termin ganz vergessen.,,unutmak
vergleichen,to compare,Goethe B1,Vergleichen Sie die Angebote.,,karşılaştırmak
sich vergnügen,to enjoy oneself,Goethe B1,Auf der Party habe ich mich sehr vergnügt.,,eğlenmek
das Vergnügen,"pleasure, enjoyment",Goethe B1,"Es ist ein Vergnügen, den Kindern beim Spielen zuzusehen.",,"zevk, eğlence"
vergrößern,"to enlarge, to expand",Goethe B1,Können Sie das Foto vergrößern?,,"büyütmek, genişletmek"
verhaften,to arrest,Goethe B1,Die Polizei hat 23 Menschen verhaftet.,,tutuklamak
sich verhalten,to behave,Goethe B1,Der Mann hat sich uns gegenüber merkwürdig verhalten.,,davranmak
das Verhalten,"behavior, conduct",Goethe B1,Ich bewundere dein Verhalten in der schwierigen Situation.,,davranış
das Verhältnis,"relationship, ratio",Goethe B1,Ich habe ein gutes Verhältnis zu meinen Eltern.,,"ilişki, oran"
verheiratet,married,Goethe B1,Mit wem sind Sie verheiratet?,,evli
verhindern,to prevent,Goethe B1,Wir konnten den Unfall nicht verhindern.,,"önlemek, engellemek"
verkaufen,to sell,Goethe B1,Ich habe unser altes Auto verkauft.,,satmak
der Verkäufer,salesperson,Goethe B1,Die Verkäuferin wird Ihnen gleich helfen.,,satıcı
der Verkehr,traffic,Goethe B1,Morgens ist hier immer viel Verkehr.,,trafik
das Verkehrsmittel,means of transport,Goethe B1,Sie sollten mit öffentlichen Verkehrsmitteln fahren.,,ulaşım aracı
der Verlag,"publisher, publishing house",Goethe B1,Von welchem Verlag ist dieses Buch?,,yayınevi
verlangen,"to demand, to require",Goethe B1,Jeden Tag Überstunden? Das können Sie nicht verlangen.,,"talep etmek, istemek"
verlängern,"to extend, to renew",Goethe B1,Ich muss meinen Pass verlängern lassen.,,"uzatmak, yenilemek"
verlassen,to leave,Goethe B1,Ich habe die Party um 3 Uhr verlassen.,,"terk etmek, ayrılmak"
sich verlaufen,to get lost,Goethe B1,Gestern haben wir uns im Wald verlaufen.,,"yolu kaybetmek, kaybolmak"
sich verletzen,to injure oneself,Goethe B1,Ich habe mich an der Hand verletzt.,,yaralanmak
die Verletzung,injury,Goethe B1,Die Verletzung ist nicht so schlimm.,,"yaralanma, yara"
sich verlieben,to fall in love,Goethe B1,Ich habe mich verliebt.,,aşık olmak
verlieren,to lose,Goethe B1,Ich habe meine Brieftasche verloren.,,kaybetmek
der Verlierer,loser,Goethe B1,Sie ist eine gute Verliererin.,,kaybeden
der Verlust,loss,Goethe B1,Der Verlust meiner Uhr ärgert mich sehr.,,kayıp
vermeiden,to avoid,Goethe B1,"Der Arzt sagt, ich soll Stress vermeiden.",,kaçınmak
vermieten,"to rent out, to let",Goethe B1,Bei uns im Haus ist ein Zimmer zu vermieten.,,kiralamak (kiraya vermek)
der Vermieter,"landlord, landlady",Goethe B1,"Unsere Vermieterin ist eine sehr nette, ältere Frau.",,ev sahibi
vermissen,to miss,Goethe B1,Ich vermisse meine Familie.,,özlemek
vermuten,"to suspect, to assume",Goethe B1,"Ich vermute, sie wird heute nicht kommen.",,"tahmin etmek, sanmak"
vernünftig,"reasonable, sensible",Goethe B1,Seien Sie doch vernünftig!,,"makul, akılcı"
verpacken,"to pack, to wrap",Goethe B1,Hast Du die Pakete gut verpackt?,,"paketlemek, sarmak"
verpassen,to miss,Goethe B1,Ich habe den Zug verpasst.,,kaçırmak
verpflichtet,obligated,Goethe B1,"Sie sind verpflichtet, den Unfall zu melden.",,"yükümlü, zorunda"
verraten,"to betray, to tell (a secret)",Goethe B1,Wer hat dir das Geheimnis verraten?,,ihanet etmek; ifşa etmek
verreisen,"to travel, to go on a trip",Goethe B1,Frau Dr. Müller ist zurzeit verreist.,,seyahate çıkmak
verrückt,"crazy, mad",Goethe B1,Bist du verrückt geworden?!,,"deli, çılgın"
die Versammlung,"meeting, assembly",Goethe B1,Der Minister hielt bei der Versammlung eine Rede.,,"toplantı, meclis"
versäumen,"to miss, to fail to do",Goethe B1,Ich habe die Anmeldefrist versäumt.,,"kaçırmak, ihmal etmek"
verschieben,"to postpone, to move",Goethe B1,Leider muss ich den Termin verschieben.,,"ertelemek, ötelemek"
verschieden,"different, various",Goethe B1,Unsere beiden Kinder sind sehr verschieden.,,"farklı, çeşitli"
verschreiben,to prescribe,Goethe B1,Die Ärztin hat mir Tabletten verschrieben.,,reçete yazmak
verschwinden,"to disappear, to vanish",Goethe B1,Mein Ausweis ist verschwunden.,,"kaybolmak, yok olmak"
versichern,to insure; to assure,Goethe B1,Wollen Sie Ihr Gepäck versichern?,,sigorta yaptırmak; temin etmek
die Versicherung,insurance,Goethe B1,Sie sollten eine Versicherung für Ihr Gepäck abschließen.,,sigorta
die Verspätung,delay,Goethe B1,Unser Zug hatte 10 Minuten Verspätung.,,gecikme
versprechen,to promise,Goethe B1,"Meine Mutter hat mir versprochen, mich abzuholen.",,"söz vermek, vaat etmek"
verständlich,understandable,Goethe B1,Ich finde das verständlich.,,"anlaşılır, makul"
das Verständnis,"understanding, comprehension",Goethe B1,Wir bitten um Ihr Verständnis.,,"anlayış, kavrayış"
sich verstecken,to hide,Goethe B1,Ich habe das Geld hinter dem Regal versteckt.,,"saklanmak, saklamak"
sich verstehen,to understand; to get along,Goethe B1,Ich kann Sie kaum verstehen.,,anlamak; geçinmek
versuchen,"to try, to attempt",Goethe B1,Haben Sie es schon mal mit diesem Mittel versucht?,,"denemek, çalışmak"
der Versuch,"attempt, experiment",Goethe B1,In der Forschung werden viele Versuche gemacht.,,"deneme, girişim"
verteilen,"to distribute, to hand out",Goethe B1,Kannst du bitte schon mal die Gläser verteilen?,,"dağıtmak, paylaştırmak"
der Vertrag,contract,Goethe B1,Sie beide müssen den Vertrag unterzeichnen.,,"sözleşme, anlaşma"
verwenden,to use,Goethe B1,Dieses Wort wird oft verwendet.,,kullanmak
verzeihen,"to forgive, to pardon",Goethe B1,Das werde ich ihm nie verzeihen können.,,affetmek
Verzeihung,Excuse me; forgiveness,Goethe B1,Verzeihung! Ich habe die falsche Nummer gewählt.,,özür dilerim; af
verzichten,"to give up, to do without",Goethe B1,Ich verzichte heute auf den Kaffee.,,vazgeçmek
das Video,video,Goethe B1,Ich habe den Film auf Video aufgenommen.,,video
viel,"much, a lot",Goethe B1,Ich habe schon viel gelernt.,,çok
vielleicht,"perhaps, maybe",Goethe B1,Kommst du mit? - Vielleicht.,,belki
vertrauen,to trust,Goethe B1,Ich vertraue dir.,,güvenmek
das Vertrauen,trust,Goethe B1,Ich habe Vertrauen zu Ihnen.,,güven
vertreten,to represent,Goethe B1,"Wer vertritt Sie, wenn Sie Urlaub machen?",,temsil etmek
der Vertreter,representative,Goethe B1,Wer ist sein Vertreter?,,temsilci
die Vertretung,"representation, substitute",Goethe B1,Herr Dr. Meyer macht für mich die Vertretung.,,vekâlet
verurteilen,"to sentence, to condemn",Goethe B1,Das Gericht hat den Täter zu einer Geldstrafe verurteilt.,,mahkûm etmek
die Verwaltung,administration,Goethe B1,Sprechen Sie bitte mit der Verwaltung.,,"yönetim, idare"
verwandt,related,Goethe B1,Sind Sie mit Frau Meyer verwandt?,,akraba
der Verwandte,"relative, relation",Goethe B1,Zu meinem Geburtstag kommen alle Verwandten.,,akraba
verwechseln,"to confuse, to mix up",Goethe B1,"Entschuldigen Sie, ich habe Sie mit jemandem verwechselt.",,karıştırmak
das Viertel,quarter; neighborhood,Goethe B1,Wir wohnen in einem schönen Viertel.,,çeyrek; semt
virtuell,virtual,Goethe B1,Man kann an einer virtuellen Stadtrundfahrt teilnehmen.,,sanal
der Virus,virus,Goethe B1,Ich habe mal wieder einen Virus auf meinem Computer.,,virüs
die Visitenkarte,business card,Goethe B1,Darf ich Ihnen meine Visitenkarte geben?,,kartvizit
das Visum,visa,Goethe B1,Das Visum ist für drei Monate gültig.,,vize
das Vitamin,vitamin,Goethe B1,"Der Arzt sagt, ich soll viele Vitamine essen.",,vitamin
voll,full,Goethe B1,Die Flasche ist noch ganz voll.,,dolu
die Vollzeit,full-time,Goethe B1,Ich möchte gerne Vollzeit arbeiten.,,tam zamanlı
Volleyball,volleyball,Goethe B1,Im Sommer spiele ich gern Volleyball.,,voleybol
völlig,"completely, entirely",Goethe B1,Das halte ich für völlig ausgeschlossen.,,"tamamen, kesinlikle"
von,"from, of, by",Goethe B1,Ich komme gerade vom Zahnarzt.,,-den/-dan
voneinander,from each other,Goethe B1,Wir haben lange nichts voneinander gehört.,,birbirinden
vor,"before, ago, in front of",Goethe B1,Ich bin vor einer Woche zurückgekommen.,,"önce, önünde"
vor allem,"above all, especially",Goethe B1,"Grüßen Sie alle von mir, vor allem Frau Meier.",,"her şeyden önce, özellikle"
voraus,"ahead, in advance",Goethe B1,Gehen Sie schon voraus.,,"önce, önceden"
die Voraussetzung,"prerequisite, requirement",Goethe B1,Gesunde Ernährung ist die Voraussetzung für ein langes Leben.,,"ön koşul, gereklilik"
voraussichtlich,"expected, presumably",Goethe B1,Der Zug hat voraussichtlich 20 Minuten Verspätung.,,"tahminlere göre, büyük ihtimalle"
sich vorbereiten,to prepare,Goethe B1,Ich muss noch viel dafür vorbereiten.,,hazırlanmak
die Vorbereitung,preparation,Goethe B1,Nächste Woche beginnen wir mit der Vorbereitung für die Prüfung.,,hazırlık
die Vorfahrt,right of way,Goethe B1,Achtung! Das Auto rechts hat Vorfahrt!,,geçiş önceliği
vorgestern,the day before yesterday,Goethe B1,Er hat mich vorgestern angerufen.,,evvelsi gün
vorhaben,"to plan, to intend",Goethe B1,Haben Sie morgen Abend schon etwas vor?,,"planlamak, niyet etmek"
vorher,"beforehand, before",Goethe B1,Vorher muss ich aber noch zur Bank.,,"önceden, evvelden"
vorhin,"earlier, a little while ago",Goethe B1,Vorhin hat Heidrun angerufen.,,"az önce, biraz önce"
vorkommen,"to occur, to happen",Goethe B1,Kein Problem. Das kann vorkommen.,,"olmak, meydana gelmek"
vorläufig,"temporary, for the time being",Goethe B1,Ich wohne vorläufig bei einem Freund.,,"geçici olarak, şimdilik"
vorlesen,to read aloud,Goethe B1,Ich lese meinen Kindern oft etwas vor.,,sesli okumak
vorn,at the front,Goethe B1,Bitte vorn beim Fahrer einsteigen!,,"önde, ön tarafta"
der Vorort,suburb,Goethe B1,Wir wohnen in einem Vorort von Köln.,,banliyö
vorschlagen,"to suggest, to propose",Goethe B1,"Ich schlage vor, dass wir eine Pause machen.",,"önermek, teklif etmek"
der Vorschlag,"suggestion, proposal",Goethe B1,Ich mache dir einen Vorschlag.,,"öneri, teklif"
die Vorschrift,"regulation, rule",Goethe B1,Beachten Sie bitte die Vorschriften.,,"talimat, yönetmelik"
die Vorsicht,"caution, care",Goethe B1,Vorsicht! Der Teller ist heiß.,,"dikkat, ihtiyat"
vorsichtig,"careful, cautious",Goethe B1,"Bitte fahr vorsichtig, die Straße ist glatt.",,dikkatli
sich vorstellen,to imagine; to introduce oneself,Goethe B1,So schwierig habe ich mir die Arbeit nicht vorgestellt.,,hayal etmek; kendini tanıtmak
die Vorstellung,"idea; performance, showing",Goethe B1,Die nächste Vorstellung ist um 15 Uhr.,,"gösteri, seans; fikir"
das Vorstellungsgespräch,job interview,Goethe B1,Wann hast du dein Vorstellungsgespräch?,,iş görüşmesi
der Vorteil,advantage,Goethe B1,"Der Vorteil von dieser Wohnung ist, dass sie direkt im Zentrum liegt.",,"avantaj, üstünlük"
der Vortrag,"lecture, talk",Goethe B1,Ihr Vortrag war sehr interessant.,,"konferans, sunum"
die Vorwahl,area code,Goethe B1,Wie ist die Vorwahl von Hamburg?,,alan kodu
vorwärts,"forward, ahead",Goethe B1,Bitte fahr noch ein Stück vorwärts.,,ileri doğru
der Vorwurf,"accusation, reproach",Goethe B1,Eva kann nichts dafür. Mach ihr keine Vorwürfe.,,"suçlama, kınama"
waagerecht,horizontal,Goethe B1,Ziehen Sie bitte einen waagerechten Strich.,,yatay
wach,awake,Goethe B1,Bist du schon lange wach?,,uyanık
wachsen,to grow,Goethe B1,Mein Sohn ist sehr gewachsen.,,"büyümek, gelişmek"
wann,when,Goethe B1,Wann kommst du?,,ne zaman
die Ware,"goods, merchandise",Goethe B1,Wir liefern Ihnen die Ware direkt ins Haus.,,"mal, ürün"
warm,warm,Goethe B1,Hier ist es sehr warm.,,sıcak
der Wagen,"car, carriage",Goethe B1,Ich habe meinen Wagen in die Werkstatt gebracht.,,"araba, vagon"
wählen,to choose; to vote,Goethe B1,Sie können wählen: Als Vorspeise gibt es Suppe oder Salat.,,seçmek; oy vermek
die Wahl,choice; election,Goethe B1,Sie haben die Wahl.,,seçim
wahnsinnig,"crazy, insane",Goethe B1,Du fährst viel zu schnell. Bist du wahnsinnig?!,,"deli, çılgın"
wahr,true,Goethe B1,"Was ich sage, ist wahr.",,"doğru, gerçek"
die Wahrheit,truth,Goethe B1,Sag mir bitte die Wahrheit.,,"gerçek, doğru"
während,"while, during",Goethe B1,"Während ich arbeite, höre ich oft Musik.",,"sırasında, iken"
wahrscheinlich,"probably, likely",Goethe B1,Wahrscheinlich mache ich im Herbst noch einen Deutschkurs.,,muhtemelen
der Wald,"forest, woods",Goethe B1,Hinter unserem Haus fängt der Wald an.,,orman
die Wand,wall,Goethe B1,Ich stelle das Regal rechts an die Wand.,,duvar
wandern,to hike,Goethe B1,Wir gehen oft wandern.,,"yürüyüş yapmak, dolaşmak"
die Wanderung,hike,Goethe B1,Wir haben in den Ferien eine schöne Wanderung gemacht.,,yürüyüş
die Wärme,"warmth, heat",Goethe B1,Wärme ist gut gegen meine Schmerzen.,,"sıcaklık, ısı"
warnen,to warn,Goethe B1,Ich warne Sie. Der Hund ist gefährlich.,,uyarmak
warten,to wait,Goethe B1,Können Sie ein paar Minuten warten?,,beklemek
warum,why,Goethe B1,Warum besuchst du mich nicht?,,"neden, niçin"
was,what,Goethe B1,Was ist das?,,ne
sich waschen,to wash oneself,Goethe B1,Ich habe die Bluse gerade frisch gewaschen.,,yıkamak
die Wäsche,laundry,Goethe B1,Ich muss heute noch Wäsche waschen.,,çamaşır
das Waschmittel,detergent,Goethe B1,Diese Bluse darfst du nicht mit jedem Waschmittel waschen.,,"deterjan, çamaşır tozu"
das Wasser,water,Goethe B1,Kann ich bitte ein Glas Wasser haben?,,su
wechseln,"to change, to exchange",Goethe B1,Können Sie 50 Euro in Kleingeld wechseln?,,"değiştirmek, bozmak"
wecken,to wake up (someone),Goethe B1,Können Sie mich morgen früh um sechs wecken?,,uyandırmak
der Wecker,alarm clock,Goethe B1,Hast du den Wecker schon gestellt?,,çalar saat
weder … noch,neither … nor,Goethe B1,Für Urlaub haben wir weder Zeit noch Geld.,,ne ... ne de
der Weg,"way, path, road",Goethe B1,Dieser Weg ist sehr breit und angenehm.,,"yol, yön"
weg,"gone, away",Goethe B1,Meine Handtasche ist weg!,,"gitti, kayıp"
wegen,"because of, due to",Goethe B1,Wegen Nebels konnte unser Flugzeug nicht landen.,,"yüzünden, nedeniyle"
wehtun,to hurt,Goethe B1,Wo tut es weh?,,"acıtmak, ağrımak"
weiblich,"female, feminine",Goethe B1,Kreuzen Sie bitte an: weiblich oder männlich.,,"dişi, kadın cinsiyeti"
weich,soft,Goethe B1,Ich möchte zum Frühstück ein weiches Ei.,,yumuşak
sich weigern,to refuse,Goethe B1,Ich weigere mich diese Arbeit zu tun.,,"reddetmek, yapmayı reddetmek"
weil,because,Goethe B1,"Ich kann nicht kommen, weil ich krank bin.",,çünkü
der Wein,wine,Goethe B1,In diesem Restaurant gibt es sehr guten Wein.,,şarap
weinen,to cry,Goethe B1,Bitte nicht weinen. Du bekommst eine neue Puppe.,,ağlamak
weit,"far, wide",Goethe B1,Wie weit ist es noch bis München?,,"uzak, geniş"
weiter,"further, to continue",Goethe B1,Bitte essen Sie ruhig weiter.,,"devam etmek, ileri"
die Weiterbildung,"further education, professional development",Goethe B1,Ich möchte eine Weiterbildung machen.,,"ileri eğitim, mesleki gelişim"
welcher,"which, what",Goethe B1,Welcher Tag ist heute?,,"hangi, ne"
die Welt,world,Goethe B1,Überall auf der Welt gibt es Probleme.,,dünya
weltweit,"worldwide, global",Goethe B1,Unsere Firma produziert für den weltweiten Markt.,,dünya çapında
wenden,to turn,Goethe B1,"Sie müssen zurückfahren, aber hier dürfen Sie nicht wenden.",,"dönmek, çevirmek"
wenig,"little, few",Goethe B1,Essen Sie immer so wenig?,,"az, biraz"
wenigstens,at least,Goethe B1,Essen Sie wenigstens ein Stück Kuchen.,,en azından
wenn,"when, if",Goethe B1,"Vielleicht, wenn ich nicht arbeiten muss.",,eğer; -ınca/-ince
wer,who,Goethe B1,Wer ist das?,,kim
die Werbung,"advertising, advertisement",Goethe B1,Ich sehe gern Werbung im Fernsehen.,,reklam
werden,"to become, to get",Goethe B1,Es wird kalt.,,olmak; geleceği yapma yardımcı fiili
werfen,to throw,Goethe B1,Die Kinder haben Steine ins Wasser geworfen.,,"atmak, fırlatmak"
das Werk,work (of art/literature); factory,Goethe B1,Wir haben gestern das Werk besichtigt.,,eser; fabrika
die Werkstatt,"workshop, garage",Goethe B1,Mein Wagen ist zurzeit in der Werkstatt.,,"atölye, garaj"
das Werkzeug,tools,Goethe B1,Wir hatten kein Werkzeug für die Reparatur dabei.,,"alet, araç"
wert,"worth, valuable",Goethe B1,Das Auto ist vielleicht noch 1000 Euro wert.,,değerinde
der Wert,"value, worth",Goethe B1,Das Haus hat einen Wert von ca. 1 Mio. Euro.,,değer
wertlos,worthless,Goethe B1,Diese alten Geldscheine sind heute völlig wertlos.,,değersiz
wertvoll,valuable,Goethe B1,Ich habe einen sehr wertvollen Ring von meiner Großmutter.,,değerli
weshalb,"why, for what reason",Goethe B1,Weshalb rufst du an?,,neden
der Wettbewerb,"competition, contest",Goethe B1,Meine Tochter hat bei einem Wettbewerb gewonnen.,,yarışma
wetten,to bet,Goethe B1,"Wir haben gewettet, dass sie wieder zu spät kommt.",,bahse girmek
das Wetter,weather,Goethe B1,Das Wetter soll schön werden.,,hava
der Wetterbericht,weather report,Goethe B1,Hast du schon den Wetterbericht gehört?,,hava durumu raporu
wichtig,important,Goethe B1,Die Prüfung ist sehr wichtig für mich.,,önemli
widersprechen,"to contradict, to disagree",Goethe B1,Da muss ich Ihnen widersprechen.,,"itiraz etmek, karşı çıkmak"
wie,"how, like, as",Goethe B1,Wie heißt du?,,nasıl; gibi
wieder,again,Goethe B1,Wann kommst du wieder?,,"tekrar, yeniden"
wiederholen,to repeat,Goethe B1,Ich wiederhole: Die Nummer ist 3487.,,tekrarlamak
die Wiederholung,repetition; repeat,Goethe B1,Eine Wiederholung der Prüfung ist möglich.,,"tekrar, yineleme"
wiegen,to weigh,Goethe B1,Wie viel wiegst du?,,"tartmak, ağırlığı olmak"
wild,wild,Goethe B1,Das ist ein wilder Fluss.,,"vahşi, yabani"
die Wiese,"meadow, field",Goethe B1,Vor unserem Haus ist eine Wiese mit Bäumen.,,"çayır, tarla"
wie viel,"how much, how many",Goethe B1,Wie viel Geld hast du dabei?,,ne kadar
